source_neuron,target_neuron,weight,delay,source_pop,target_pop
50,34,-8615.483642,0.500000,3,2
51,32,-12499.657416,1.000000,3,2
51,45,-11360.704648,0.400000,3,2
51,46,-9266.339894,0.700000,3,2
51,48,-11498.922181,1.200000,3,2
52,43,-13306.747188,0.800000,3,2
52,48,-11115.410633,0.200000,3,2
52,45,-9997.621440,1.200000,3,2
53,46,-10427.878969,0.800000,3,2
53,36,-9487.052977,1.100000,3,2
54,45,-13132.933415,0.500000,3,2
54,40,-10872.139167,1.300000,3,2
54,39,-8013.868157,1.000000,3,2
54,47,-11653.672878,0.900000,3,2
58,35,2629.840111,2.800000,4,2
61,29,2785.584813,1.500000,6,2
62,36,3132.313020,2.100000,6,2
63,45,3307.401200,0.500000,6,2
64,46,2794.487971,1.500000,6,2
64,42,2627.261341,0.800000,6,2
65,46,2951.855661,1.400000,6,2
67,28,2523.585515,2.100000,6,2
67,43,2729.135567,1.800000,6,2
67,37,2629.554529,3.200000,6,2
69,28,2901.056363,1.900000,6,2
69,40,3197.551666,3.200000,6,2
70,37,2823.601151,1.900000,6,2
72,48,3132.028777,1.000000,6,2
73,47,2845.067342,0.800000,6,2
74,40,1683.463296,0.700000,6,2
6,51,3036.604438,1.800000,0,3
8,54,2517.364681,2.000000,0,3
13,50,3169.008507,1.800000,0,3
15,54,2643.842255,2.000000,0,3
15,53,3146.905193,0.900000,0,3
16,54,2882.317374,2.300000,0,3
21,54,2799.202433,1.200000,0,3
21,51,2723.641855,0.600000,0,3
31,54,2654.075770,1.200000,2,3
35,53,2394.139477,0.600000,2,3
37,50,3105.307806,2.100000,2,3
37,54,2501.200739,0.900000,2,3
40,51,2710.308326,2.400000,2,3
45,53,2645.410653,2.300000,2,3
45,51,3480.210194,1.600000,2,3
46,54,3188.706516,1.800000,2,3
47,54,2927.243499,1.100000,2,3
49,54,2920.822091,2.000000,2,3
51,53,-9921.920602,0.400000,3,3
51,54,-9598.139337,1.000000,3,3
51,50,-9166.273572,0.400000,3,3
52,53,-11132.363757,0.300000,3,3
54,53,-10611.701001,1.400000,3,3
64,53,3498.044452,0.400000,6,3
64,51,2668.647758,0.700000,6,3
64,54,2411.107738,2.300000,6,3
70,53,2619.222145,1.000000,6,3
73,52,2768.722207,1.600000,6,3
73,50,2635.584188,1.600000,6,3
74,53,2523.465282,2.100000,6,3
74,52,2534.363543,2.500000,6,3
74,52,2388.172044,2.900000,6,3
1,59,2560.409935,1.400000,0,4
3,56,2829.946581,2.500000,0,4
5,55,2898.487512,0.700000,0,4
7,57,2564.389569,1.900000,0,4
9,56,2754.126295,1.400000,0,4
12,59,2645.409265,0.200000,0,4
16,58,3003.851379,1.200000,0,4
17,57,2378.504332,1.000000,0,4
18,58,3037.084591,1.100000,0,4
18,58,3332.434348,1.200000,0,4
18,56,2962.042635,1.600000,0,4
22,58,-8301.031097,1.100000,1,4
23,57,-9567.523434,0.900000,1,4
28,56,2124.617535,1.100000,2,4
28,58,2755.831929,2.400000,2,4
40,55,2839.839124,0.900000,2,4
41,56,2693.616982,1.800000,2,4
48,57,2586.880313,0.500000,2,4
49,58,2678.991150,1.300000,2,4
56,57,3008.501924,1.700000,4,4
58,59,2951.855053,2.700000,4,4
60,55,-9302.712562,0.800000,5,4
60,56,-10006.145424,0.500000,5,4
66,58,2757.908171,1.500000,6,4
16,60,2650.190615,2.600000,0,5
32,60,2597.906049,1.300000,2,5
1,63,2653.133980,2.000000,0,6
3,62,2255.729766,2.000000,0,6
14,70,3082.382391,1.700000,0,6
16,61,2515.342561,2.500000,0,6
21,74,2540.343949,0.600000,0,6
27,70,-11989.319954,0.900000,1,6
31,68,3415.757994,1.500000,2,6
32,73,2787.548710,1.600000,2,6
43,72,2752.781614,2.200000,2,6
44,70,2838.569071,2.800000,2,6
44,69,2754.844610,2.200000,2,6
46,63,2880.033758,0.200000,2,6
48,63,2629.835752,2.200000,2,6
52,72,-11210.157915,1.000000,3,6
55,61,2569.051178,1.400000,4,6
56,69,2402.730755,1.500000,4,6
58,69,2778.063113,2.400000,4,6
58,70,2800.887042,1.700000,4,6
63,61,2303.608338,2.000000,6,6
65,62,2470.068490,0.400000,6,6
67,63,2473.119080,1.100000,6,6
67,65,3061.734834,0.400000,6,6
68,61,2445.574852,0.900000,6,6
69,72,3033.352804,2.200000,6,6
73,74,2771.400286,2.600000,6,6
74,74,2787.573298,2.000000,6,6
75,68,-12703.355358,0.300000,7,6
75,62,-11804.091287,1.300000,7,6
75,64,-7812.634726,0.600000,7,6
76,74,-10902.891418,0.900000,7,6
76,72,-9488.061295,1.000000,7,6
76,73,-10355.094295,0.200000,7,6
77,65,-11360.025231,1.000000,7,6
77,63,-10066.528594,1.300000,7,6
77,62,-11460.742282,1.000000,7,6
77,61,-10949.889194,1.600000,7,6
77,68,-11119.364028,1.000000,7,6
17,76,2766.143090,1.800000,0,7
18,76,2910.495207,1.600000,0,7
61,75,2660.635267,1.800000,6,7
67,75,2690.956701,1.700000,6,7
72,76,2541.793306,1.300000,6,7
76,75,-10593.689597,0.800000,7,7
1,78,1.000000,1.000000,0,-2
2,78,1.000000,1.000000,0,-2
3,78,1.000000,1.000000,0,-2
4,78,1.000000,1.000000,0,-2
5,78,1.000000,1.000000,0,-2
6,78,1.000000,1.000000,0,-2
7,78,1.000000,1.000000,0,-2
8,78,1.000000,1.000000,0,-2
9,78,1.000000,1.000000,0,-2
10,78,1.000000,1.000000,0,-2
11,78,1.000000,1.000000,0,-2
12,78,1.000000,1.000000,0,-2
13,78,1.000000,1.000000,0,-2
14,78,1.000000,1.000000,0,-2
15,78,1.000000,1.000000,0,-2
16,78,1.000000,1.000000,0,-2
17,78,1.000000,1.000000,0,-2
18,78,1.000000,1.000000,0,-2
19,78,1.000000,1.000000,0,-2
20,78,1.000000,1.000000,0,-2
21,78,1.000000,1.000000,0,-2
22,79,1.000000,1.000000,1,-2
23,79,1.000000,1.000000,1,-2
24,79,1.000000,1.000000,1,-2
25,79,1.000000,1.000000,1,-2
26,79,1.000000,1.000000,1,-2
27,79,1.000000,1.000000,1,-2
28,80,1.000000,1.000000,2,-2
29,80,1.000000,1.000000,2,-2
30,80,1.000000,1.000000,2,-2
31,80,1.000000,1.000000,2,-2
32,80,1.000000,1.000000,2,-2
33,80,1.000000,1.000000,2,-2
34,80,1.000000,1.000000,2,-2
35,80,1.000000,1.000000,2,-2
36,80,1.000000,1.000000,2,-2
37,80,1.000000,1.000000,2,-2
38,80,1.000000,1.000000,2,-2
39,80,1.000000,1.000000,2,-2
40,80,1.000000,1.000000,2,-2
41,80,1.000000,1.000000,2,-2
42,80,1.000000,1.000000,2,-2
43,80,1.000000,1.000000,2,-2
44,80,1.000000,1.000000,2,-2
45,80,1.000000,1.000000,2,-2
46,80,1.000000,1.000000,2,-2
47,80,1.000000,1.000000,2,-2
48,80,1.000000,1.000000,2,-2
49,80,1.000000,1.000000,2,-2
50,81,1.000000,1.000000,3,-2
